balanced_round_robin_order,balanced_slot_index,balanced_period,include_in_hourly_primary,microcolony_pair,microcolony_ids,exposure_date,source_date,relative_period,target_hour,selected_minute,selection_status,day_status,video_id,filename_camera_label,source_video_path,symlink_path,augmentation_reason,augmentation_note
73,3,pre,true,MCs-21-and-22,21;22,,2026-03-15,augmented_pre_exposure,02,30,augmented_extra,augmented,bumblebox-18_2026-03-15_02_30_04,bumblebox-18,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-21-and-22/2026-03-15/bumblebox-18_2026-03-15_02_30_04.mp4,,blur_compensation_0.5ppb,extra pre videos for MC21 to compensate blurry MC1 0.5ppb
75,3,post,true,MCs-21-and-22,21;22,2026-03-16,2026-03-18,post_dose_d_plus_2_substitute,02,30,augmented_extra,augmented,bumblebox-18_2026-03-18_02_30_04,bumblebox-18,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-21-and-22/2026-03-18/bumblebox-18_2026-03-18_02_30_04.mp4,,post_compensate_blurry_mc1_2,post compensation for blurry MC1/2: MC21 matches MC1 0.5ppb
78,4,pre,true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,03,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_03_00_02,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_03_00_02.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_03_00_02.mp4,base_hourly,original hourly round-robin selection
79,4,post,true,MCs-1-and-2,1;2,2026-02-23,2026-02-26,post_exposure_folder,03,00,exact_hh00,full_24_hours,bumblebox-19_2026-02-26_03_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/post-exposure/bumblebox-19_2026-02-26_03_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/post/2026-02-26/bumblebox-19_2026-02-26_03_00_03.mp4,base_hourly,original hourly round-robin selection
80,4,pre,true,MCs-3-and-4,3;4,2026-02-23,2026-02-22,pre_exposure_folder,03,00,exact_hh00,full_24_hours,bumblebox-07_2026-02-22_03_00_02,bumblebox-07,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-3-and-4/pre-exposure/bumblebox-07_2026-02-22_03_00_02.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-3-and-4/pre/2026-02-22/bumblebox-07_2026-02-22_03_00_02.mp4,base_hourly,original hourly round-robin selection
81,4,post,true,MCs-3-and-4,3;4,2026-02-23,2026-02-26,post_exposure_folder,03,00,exact_hh00,full_24_hours,bumblebox-07_2026-02-26_03_00_03,bumblebox-07,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-3-and-4/post-exposure/bumblebox-07_2026-02-26_03_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-3-and-4/post/2026-02-26/bumblebox-07_2026-02-26_03_00_03.mp4,base_hourly,original hourly round-robin selection
82,4,post,true,MCs-5-and-6,5;6,2026-02-23,2026-02-26,post_exposure_folder,03,00,exact_hh00,full_24_hours,bumblebox-18_2026-02-26_03_00_04,bumblebox-18,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-5-and-6/post-exposure/bumblebox-18_2026-02-26_03_00_04.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-5-and-6/post/2026-02-26/bumblebox-18_2026-02-26_03_00_04.mp4,base_hourly,original hourly round-robin selection
83,4,post,true,MCs-7-and-8,7;8,2026-02-23,2026-02-26,post_exposure_folder,03,00,exact_hh00,full_24_hours,bumblebox-15_2026-02-26_03_00_03,bumblebox-15,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-7-and-8/post-exposure/bumblebox-15_2026-02-26_03_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-7-and-8/post/2026-02-26/bumblebox-15_2026-02-26_03_00_03.mp4,base_hourly,original hourly round-robin selection
91,4,pre,true,MCs-17-and-18,17;18,,2026-03-15,augmented_pre_exposure,03,30,augmented_extra,augmented,bumblebox-9_2026-03-15_03_30_02,bumblebox-9,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-17-and-18/2026-03-15/bumblebox-9_2026-03-15_03_30_02.mp4,,blur_compensation_10ppb,all available extra pre videos for MC17 to compensate blurry MC2 10ppb; MC16 has no pre source videos
99,5,pre,true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,04,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_04_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_04_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_04_00_03.mp4,base_hourly,original hourly round-robin selection
100,5,pre,true,MCs-1-and-2,1;2,,2026-02-23,augmented_pre_exposure,04,30,augmented_extra,augmented,bumblebox-19_2026-02-23_04_30_04,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_04_30_04.mp4,,pre_fill_to_24_if_possible,fill MCs-1-and-2 pre from 16 toward 24 using non-hourly pre videos
101,5,post,true,MCs-1-and-2,1;2,2026-02-23,2026-02-26,post_exposure_folder,04,00,exact_hh00,full_24_hours,bumblebox-19_2026-02-26_04_00_04,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/post-exposure/bumblebox-19_2026-02-26_04_00_04.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/post/2026-02-26/bumblebox-19_2026-02-26_04_00_04.mp4,base_hourly,original hourly round-robin selection
102,5,pre,true,MCs-3-and-4,3;4,2026-02-23,2026-02-22,pre_exposure_folder,04,00,exact_hh00,full_24_hours,bumblebox-07_2026-02-22_04_00_03,bumblebox-07,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-3-and-4/pre-exposure/bumblebox-07_2026-02-22_04_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-3-and-4/pre/2026-02-22/bumblebox-07_2026-02-22_04_00_03.mp4,base_hourly,original hourly round-robin selection
103,5,post,true,MCs-3-and-4,3;4,2026-02-23,2026-02-26,post_exposure_folder,04,00,exact_hh00,full_24_hours,bumblebox-07_2026-02-26_04_00_03,bumblebox-07,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-3-and-4/post-exposure/bumblebox-07_2026-02-26_04_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-3-and-4/post/2026-02-26/bumblebox-07_2026-02-26_04_00_03.mp4,base_hourly,original hourly round-robin selection
104,5,post,true,MCs-5-and-6,5;6,2026-02-23,2026-02-26,post_exposure_folder,04,00,exact_hh00,full_24_hours,bumblebox-18_2026-02-26_04_00_04,bumblebox-18,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-5-and-6/post-exposure/bumblebox-18_2026-02-26_04_00_04.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-5-and-6/post/2026-02-26/bumblebox-18_2026-02-26_04_00_04.mp4,base_hourly,original hourly round-robin selection
105,5,post,true,MCs-7-and-8,7;8,2026-02-23,2026-02-26,post_exposure_folder,04,00,exact_hh00,full_24_hours,bumblebox-15_2026-02-26_04_00_03,bumblebox-15,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-7-and-8/post-exposure/bumblebox-15_2026-02-26_04_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-7-and-8/post/2026-02-26/bumblebox-15_2026-02-26_04_00_03.mp4,base_hourly,original hourly round-robin selection
110,5,pre,true,MCs-13-and-14,13;14,,2026-03-01,augmented_pre_exposure,04,30,augmented_extra,augmented,bumblebox-18_2026-03-01_04_30_04,bumblebox-18,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-13-and-14/2026-03-01/bumblebox-18_2026-03-01_04_30_04.mp4,,blur_compensation_0.5ppb,extra pre videos for MC14 to compensate blurry MC1 0.5ppb
112,5,post,true,MCs-13-and-14,13;14,2026-03-02,2026-03-05,post_dose_d_plus_3,04,30,augmented_extra,augmented,bumblebox-18_2026-03-05_04_30_04,bumblebox-18,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-13-and-14/2026-03-05/bumblebox-18_2026-03-05_04_30_04.mp4,,post_compensate_blurry_mc1_2,post compensation for blurry MC1/2: MC14 matches MC1 0.5ppb
114,5,post,true,MCs-15-and-16,15;16,2026-03-02,2026-03-05,post_dose_d_plus_3,04,30,augmented_extra,augmented,bumblebox-15_2026-03-05_04_30_04,bumblebox-15,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-15-and-16/2026-03-05/bumblebox-15_2026-03-05_04_30_04.mp4,,post_compensate_blurry_mc1_2,post compensation for blurry MC1/2: MC16 matches MC2 10ppb
116,5,pre,true,MCs-17-and-18,17;18,,2026-03-15,augmented_pre_exposure,04,30,augmented_extra,augmented,bumblebox-9_2026-03-15_04_30_03,bumblebox-9,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-17-and-18/2026-03-15/bumblebox-9_2026-03-15_04_30_03.mp4,,blur_compensation_10ppb,all available extra pre videos for MC17 to compensate blurry MC2 10ppb; MC16 has no pre source videos
118,5,post,true,MCs-17-and-18,17;18,2026-03-16,2026-03-19,post_dose_d_plus_3,04,30,augmented_extra,augmented,bumblebox-9_2026-03-19_04_30_03,bumblebox-9,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-17-and-18/2026-03-19/bumblebox-9_2026-03-19_04_30_03.mp4,,post_compensate_blurry_mc1_2,post compensation for blurry MC1/2: MC17 matches MC2 10ppb
122,5,pre,true,MCs-21-and-22,21;22,,2026-03-15,augmented_pre_exposure,04,30,augmented_extra,augmented,bumblebox-18_2026-03-15_04_30_04,bumblebox-18,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-21-and-22/2026-03-15/bumblebox-18_2026-03-15_04_30_04.mp4,,blur_compensation_0.5ppb,extra pre videos for MC21 to compensate blurry MC1 0.5ppb
124,5,post,true,MCs-21-and-22,21;22,2026-03-16,2026-03-18,post_dose_d_plus_2_substitute,04,30,augmented_extra,augmented,bumblebox-18_2026-03-18_04_30_04,bumblebox-18,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-21-and-22/2026-03-18/bumblebox-18_2026-03-18_04_30_04.mp4,,post_compensate_blurry_mc1_2,post compensation for blurry MC1/2: MC21 matches MC1 0.5ppb
127,6,pre,true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,05,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_05_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_05_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_05_00_03.mp4,base_hourly,original hourly round-robin selection
