treatment,microcolony_ids,pre,post,total
control,8;11;22,60,81,141
0.5ppb,1;14;21,96,96,192
1ppb,7;13;19,84,84,168
2.5ppb,6;9;20,70,72,142
5ppb,4;12;23,48,69,117
10ppb,2;16;17,71,96,167
20ppb,5;15;18,69,96,165
100ppb,3;10;24,72,72,144
