include_in_hourly_primary,microcolony_pair,microcolony_ids,exposure_date,source_date,relative_period,target_hour,selected_minute,selection_status,day_status,video_id,filename_camera_label,source_video_path,symlink_path
false,MCs-21-and-22,21;22,2026-03-16,2026-03-19,partial_original_post_dose_d_plus_3,00,00,exact_hh00,partial_day,bumblebox-18_2026-03-19_00_00_03,bumblebox-18,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-21-and-22/2026-03-19/bumblebox-18_2026-03-19_00_00_03.mp4,
false,MCs-21-and-22,21;22,2026-03-16,2026-03-19,partial_original_post_dose_d_plus_3,01,00,exact_hh00,partial_day,bumblebox-18_2026-03-19_01_00_03,bumblebox-18,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-21-and-22/2026-03-19/bumblebox-18_2026-03-19_01_00_03.mp4,
