include_in_hourly_primary,microcolony_pair,microcolony_ids,exposure_date,source_date,relative_period,target_hour,selected_minute,selection_status,day_status,video_id,filename_camera_label,source_video_path,symlink_path
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,00,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_00_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_00_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_00_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,01,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_01_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_01_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_01_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,02,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_02_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_02_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_02_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,03,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_03_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_03_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_03_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,04,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_04_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_04_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_04_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,05,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_05_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_05_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_05_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,06,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_06_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_06_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_06_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,07,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_07_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_07_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_07_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,08,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_08_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_08_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_08_00_03.mp4
true,MCs-9-and-10,9;10,2026-03-02,2026-03-01,pre_dose_d_minus_1,09,00,exact_hh00,full_24_hours,bumblebox-07_2026-03-01_09_00_03,bumblebox-07,/media/august/Expansion/Behavioral-Entropy-Pesticide-Dosing-Exps/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_09_00_03.mp4,/tmp/bumblebox_hourly_primary_mc9_24_links/MCs-9-and-10/2026-03-01/bumblebox-07_2026-03-01_09_00_03.mp4
