balanced_round_robin_order,balanced_slot_index,balanced_period,include_in_hourly_primary,microcolony_pair,microcolony_ids,exposure_date,source_date,relative_period,target_hour,selected_minute,selection_status,day_status,video_id,filename_camera_label,source_video_path,symlink_path
1,1,pre,true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,00,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_00_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_00_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_00_00_03.mp4
2,1,post,true,MCs-1-and-2,1;2,2026-02-23,2026-02-26,post_exposure_folder,00,00,exact_hh00,full_24_hours,bumblebox-19_2026-02-26_00_00_04,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/post-exposure/bumblebox-19_2026-02-26_00_00_04.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/post/2026-02-26/bumblebox-19_2026-02-26_00_00_04.mp4
3,1,pre,true,MCs-3-and-4,3;4,2026-02-23,2026-02-22,pre_exposure_folder,00,00,exact_hh00,full_24_hours,bumblebox-07_2026-02-22_00_00_03,bumblebox-07,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-3-and-4/pre-exposure/bumblebox-07_2026-02-22_00_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-3-and-4/pre/2026-02-22/bumblebox-07_2026-02-22_00_00_03.mp4
4,1,post,true,MCs-3-and-4,3;4,2026-02-23,2026-02-26,post_exposure_folder,00,00,exact_hh00,full_24_hours,bumblebox-07_2026-02-26_00_00_03,bumblebox-07,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-3-and-4/post-exposure/bumblebox-07_2026-02-26_00_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-3-and-4/post/2026-02-26/bumblebox-07_2026-02-26_00_00_03.mp4
5,1,post,true,MCs-5-and-6,5;6,2026-02-23,2026-02-26,post_exposure_folder,00,00,exact_hh00,full_24_hours,bumblebox-18_2026-02-26_00_00_05,bumblebox-18,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-5-and-6/post-exposure/bumblebox-18_2026-02-26_00_00_05.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-5-and-6/post/2026-02-26/bumblebox-18_2026-02-26_00_00_05.mp4
6,1,post,true,MCs-7-and-8,7;8,2026-02-23,2026-02-26,post_exposure_folder,00,00,exact_hh00,full_24_hours,bumblebox-15_2026-02-26_00_00_03,bumblebox-15,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-7-and-8/post-exposure/bumblebox-15_2026-02-26_00_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-7-and-8/post/2026-02-26/bumblebox-15_2026-02-26_00_00_03.mp4
7,2,pre,true,MCs-1-and-2,1;2,2026-02-23,2026-02-23,pre_exposure_folder,01,00,exact_hh00,partial_day,bumblebox-19_2026-02-23_01_00_03,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/pre-exposure/bumblebox-19_2026-02-23_01_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/pre/2026-02-23/bumblebox-19_2026-02-23_01_00_03.mp4
8,2,post,true,MCs-1-and-2,1;2,2026-02-23,2026-02-26,post_exposure_folder,01,00,exact_hh00,full_24_hours,bumblebox-19_2026-02-26_01_00_04,bumblebox-19,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-1-and-2/post-exposure/bumblebox-19_2026-02-26_01_00_04.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-1-and-2/post/2026-02-26/bumblebox-19_2026-02-26_01_00_04.mp4
9,2,pre,true,MCs-3-and-4,3;4,2026-02-23,2026-02-22,pre_exposure_folder,01,00,exact_hh00,full_24_hours,bumblebox-07_2026-02-22_01_00_02,bumblebox-07,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-3-and-4/pre-exposure/bumblebox-07_2026-02-22_01_00_02.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-3-and-4/pre/2026-02-22/bumblebox-07_2026-02-22_01_00_02.mp4
10,2,post,true,MCs-3-and-4,3;4,2026-02-23,2026-02-26,post_exposure_folder,01,00,exact_hh00,full_24_hours,bumblebox-07_2026-02-26_01_00_03,bumblebox-07,/media/august/AutoPolls9/dose-curve-pesticide-data/MCs-3-and-4/post-exposure/bumblebox-07_2026-02-26_01_00_03.mp4,/tmp/bumblebox_hourly_primary_mc1_8_explicit_links/MCs-3-and-4/post/2026-02-26/bumblebox-07_2026-02-26_01_00_03.mp4
